P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
-37864.19059,106,-4123.201504,86,-7776.841987,1822.121633,4.484216192,5.671065324,1.312643148,-0.025331237,2.434484213,1961.345524,122,-9562.080009,114,-2927.696791,21218.8928,5.882458818,0.672648595,0.572378627,-0.656980751,0.501040695,Training
42093.62219,110,12108.72881,84,-69441.63863,40864.78947,5.9608244,5.843704317,1.512567869,-0.123045498,3.11371329,1550.70661,74,26964.20089,130,27030.31889,-14431.83571,2.162056536,2.543212655,0.876465978,0.04413087,1.079808705,Training
14609.7771,124,23426.07498,124,-22816.53354,-51030.75573,15.36822993,17.91650247,0.511804666,0.102022168,6.158364217,15713.86738,94,29422.02658,94,8984.801872,-14192.17996,2.392206766,2.673822505,0.638366689,0.057876051,0.491311977,Training
26594.78998,78,14865.12114,98,4386.324969,8480.793679,1.095890034,1.220854783,0.187733828,-0.089509648,1.179854103,13182.47495,102,16671.42001,116,1660.948374,-7414.680649,1.009297562,1.413402968,0.652491255,0.176874002,1.847958417,Training
12881.75049,122,10049.12352,122,1183.15614,11678.94329,1.686626838,1.654568422,1.331946959,-0.017795509,1.237856687,-4322.496411,92,-4284.900827,90,-1427.173091,5451.325928,1.776794737,1.731367581,0.90200265,-0.039420858,0.642969143,Training
11103.2689,118,-7227.598538,120,-10465.78869,-4869.721695,2.860750332,2.307044222,0.220738518,0.017532937,0.464730521,30226.49684,92,19767.84617,92,4702.693019,1254.06213,10.2921466,3.652278438,0.283323041,-0.431444421,0.136175543,Training
-15150.96587,116,1964.689852,118,57.6155187,-19094.06477,3.195965811,3.290801617,0.850192215,0.026026599,2.089307157,6212.832077,78,9079.346886,78,5398.797879,3979.949562,1.94065249,2.479571046,0.846772424,0.102400162,0.920083881,Training
2948.983442,76,21336.3364,78,45012.43711,-13267.71576,5.127362064,4.609543606,0.375234725,-0.041622977,0.985395181,5374.647297,104,15322.79363,104,29215.02573,-14293.03927,0.363885373,0.372397028,2.96116791,0.022441195,0.092135275,Training
15574.35112,76,17308.21939,76,3049.918104,5398.058432,1.726979022,3.900577333,0.959330685,0.38074925,0.922480939,14549.42679,80,7596.364158,80,-22651.36506,-15122.64092,1.547199304,1.78183571,1.149105864,0.104869636,0.96516855,Training
15446.23878,88,14658.88381,86,-339.5716152,9043.285714,1.224470708,1.203064698,1.022408492,-0.035340242,0.327597842,16711.52502,120,17376.39717,122,12335.28809,9345.762293,2.274169846,2.575502775,0.578489436,0.046741865,0.516180581,Training
