stress_F3,stress_F4,fadiga,lateralization,imersion,P100_Pz_peak,P100_Pz_latency,P100_Cz_peak,P100_Cz_latency,P300_mean_Cz,P300_mean_Pz,Answer
5.67,1.76,2.43,-0.58,3.16,1165.3,88,-188.11,120,5001.6,3418,Correct
7.75,11.33,1.04,0.17,14.42,3654.4,84,6548.1,84,2802.1,1114.7,Correct
2.38,2.74,0.72,0.06,0.69,-982.25,122,-326.89,122,2078.1,2304.2,Correct
1.71,1.28,0.94,-0.02,0.58,175.88,116,-981.38,102,-1611.8,9289.7,Correct
2.38,2.67,0.66,0.06,0.42,1029.4,110,557.91,74,99.921,-368.42,Correct
0.00,0.00,0.00,0.00,0.00,26001,94,41146,96,3750.4,1951,Correct
1.89,1.68,0.93,-0.03,0.66,746.42,96,637.07,96,255.95,-9.5913,Correct
2.67,2.58,1.12,-0.01,2.01,14563,106,15062,106,22717,22896,Correct
10.44,15.30,0.53,0.25,2.37,6057,100,5247.3,100,3972.1,2169.2,Correct
8.09,7.50,0.31,-0.05,1.38,16389,114,10568,112,5702.4,11721,Correct
3.28,3.26,0.94,0.21,1.69,-2059.5,114,-4308.4,114,-1866.8,-2646.9,Correct
0.94,1.40,2.09,0.19,1.94,-5583.9,80,-4960.2,122,-4157,-4373,Correct
0.82,0.90,2.64,0.00,0.76,-1973.5,106,-2126.6,110,-2730,-4980.9,Correct
0.79,3.24,14.25,0.10,10.05,NaN,NaN,NaN,NaN,-16429,-25024,Correct
3.81,4.39,1.19,0.12,1.64,4046.7,82,7366,122,2566.1,1579.5,Correct
6.10,8.23,0.40,0.41,1.71,3919,76,5594.1,82,-3695.5,-1508.8,Correct
1.21,1.04,2.86,-0.34,1.50,3325.4,126,4115.2,126,1710.4,1714.8,Correct
2.90,3.52,1.04,0.16,2.15,628.2,120,4041.5,122,6701.5,-896.28,Correct
1.97,0.84,1.47,-0.34,1.90,3725.4,84,5144.8,84,-1092.3,6099.6,Correct
1.82,2.04,0.75,0.05,0.92,2780.8,80,4311.8,82,1691.4,420.57,Correct
6.11,9.97,0.32,0.37,0.72,1300.8,76,973.26,76,-305.74,-1321.2,Correct
2.98,2.63,1.30,-0.08,3.37,-2671,90,NaN,NaN,1644.5,1747.9,Correct
7.35,15.56,0.30,0.32,2.12,669.95,92,4495.7,116,2351.4,-410.8,Correct
0.38,0.97,1.69,-1.00,1.22,46709,100,66495,104,13618,3647.5,Correct
0.78,1.06,1.14,0.17,0.09,-670.98,118,481.86,122,1539.7,-5007.5,Correct
1.78,1.76,1.81,0.00,0.18,651.14,82,1672.3,84,-2289.8,-5422.3,Correct
2.39,2.32,1.72,0.14,3.06,403.34,126,797.17,94,5779,3660.3,Correct
