Course,stress_display_F3,stress_display_F4,fadiga_display,lateralization_display,stress_solutions_F3,stress_solutions_F4,fadiga_solutions,lateralization_solutions,stress_correct_F3,stress_correct_F4,fadiga,lateralization,stress_incorrect_F3,stress_incorrect_F4,fadiga_incorrect,lateralization_incorrect,imersion_display ,imersion_solutions ,imersion_correct ,imersion_incorrect ,P100_Pz_peak_display,P100_Pz_latency_display,P100_Cz_peak_display,P100_Cz_latency_display,P100_Pz_peak_solutions,P100_Pz_latency_solutions,P100_Cz_peak_solutions,P100_Cz_latency_solutions,P100_Pz_peak_correct,P100_Pz_latency_correct,P100_Cz_peak_correct,P100_Cz_latency_correct,P100_Pz_peak_incorrect,P100_Pz_latency_incorrect,P100_Cz_peak_incorrect,P100_Cz_latency_incorrect,P300_mean_Cz_display,P300_mean_Pz_display,P300_mean_Cz_solutions,P300_mean_Pz_solutions,P300_mean_Cz_correct,P300_mean_Pz_correct,P300_mean_Cz_incorrect,P300_mean_Pz_incorrect
DEI,2.78,2.89,0.44,0.10,7.90,3.42,1.36,0.00,5.67,1.76,2.43,-0.58,5.77,1.64,2.47,-0.48,8.35,2.58,3.16,1.60,1697.90,100.00,1666.40,106.00,-1349.70,74.00,-1879.80,108.00,1165.3,88,-188.11,120,2300.3,86,4020.2,92,-1248.80,-1108.40,-671.76,-292.49,5001.6,3418,2814.5,-583.96
DEI,2.45,2.77,1.22,0.05,20.79,11.13,1.53,-0.30,7.75,11.33,1.04,0.17,1.82,1.78,1.08,-0.02,2.43,14.04,14.42,0.96,-707.07,90.00,1761.60,88.00,3398.60,126.00,3475.70,126.00,3654.4,84,6548.1,84,1582.7,82,-3376.2,80,680.97,803.41,2997.80,-531.19,2802.1,1114.7,-9442.5,1292.5
DEI,3.08,2.92,0.47,0.00,4.43,3.97,0.42,-0.04,2.38,2.74,0.72,0.06,10.11,11.07,0.18,0.05,0.49,0.84,0.69,0.86,4145.70,116.00,3756.60,116.00,9867.60,104.00,10885.00,104.00,-982.25,122,-326.89,122,33463,118,34855,118,-2418.20,-951.70,2520.20,488.94,2078.1,2304.2,19642,14184
DEI,26.94,5.72,0.64,-0.62,2.19,1.58,0.74,-0.19,1.71,1.28,0.94,-0.02,2.15,2.48,0.84,0.08,2.95,1.59,0.58,1.82,-2616.00,88.00,2214.30,88.00,2231.40,88.00,2687.80,128.00,175.88,116,-981.38,102,12700,100,-2663,124,319.87,-8320.50,1114.50,-2995.10,-1611.8,9289.7,-3441.9,14.774
DEI,3.60,3.71,0.62,0.04,3.37,3.25,0.62,-0.03,2.38,2.67,0.66,0.06,1.47,1.41,2.05,-0.04,1.11,1.05,0.42,1.79,-2704.00,80.00,-2528.20,80.00,2219.00,98.00,1358.80,98.00,1029.4,110,557.91,74,-6754.8,114,-1071.9,114,-5602.60,-7259.20,-1797.50,-1954.80,99.921,-368.42,-4775.6,-9017.4
DEI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3641.10,92.00,6404.60,94.00,376.47,98.00,1126.70,100.00,26001,94,41146,96,2149.5,114,1280.6,116,1387.60,235.06,1225.80,-810.29,3750.4,1951,-3883.8,-2351.9
DEI,1.09,1.10,1.46,-0.01,3.39,3.83,0.63,0.03,1.89,1.68,0.93,-0.03,0.79,0.76,13.87,-0.03,0.60,1.70,0.66,10.19,18906.00,128.00,19293.00,128.00,268.93,102.00,1.10,102.00,746.42,96,637.07,96,-2180.7,76,-2842.1,120,-1482.10,-1849.20,1147.90,1223.10,255.95,-9.5913,40680,40190
DEI,4.65,4.70,0.26,0.00,1.51,1.54,1.05,0.02,2.67,2.58,1.12,-0.01,0.95,1.14,3.16,0.14,0.24,0.62,2.01,1.98,12366.00,74.00,11933.00,74.00,20109.00,130.00,22571.00,130.00,14563,106,15062,106,72377,126,79520,126,1828.10,1322.80,25798.00,22945.00,22717,22896,-5388.2,-13498
DEI,4.91,5.11,0.36,0.04,4.39,2.45,0.59,-0.15,10.44,15.30,0.53,0.25,3.81,2.86,0.53,-0.16,0.33,3.27,2.37,1.03,-675.09,128.00,1131.30,74.00,3332.20,110.00,3473.40,112.00,6057,100,5247.3,100,3933.6,104,1485.8,104,-486.84,659.77,2108.90,2990.20,3972.1,2169.2,1932.1,2499.9
DEI,2.56,2.51,0.62,-0.01,4.28,4.18,1.89,-0.03,8.09,7.50,0.31,-0.05,2.58,2.62,1.18,-0.01,0.47,7.30,1.38,1.87,6270.90,94.00,7488.00,94.00,13048.00,126.00,6497.00,124.00,16389,114,10568,112,3780.3,120,19630,120,5278.80,3097.10,-17122.00,-17139.00,5702.4,11721,22309,5441
